"","Date","DailyVisits","VisitsLastYear","%ChangeVisits"
"134",1993-05-14,4045,NA,NA
"135",1993-05-15,5343,NA,NA
"136",1993-05-16,5927,NA,NA
"137",1993-05-17,4810,NA,NA
"138",1993-05-18,4918,NA,NA
"139",1993-05-19,4818,NA,NA
"140",1993-05-20,4805,NA,NA
"141",1993-05-21,5018,NA,NA
"142",1993-05-22,6391,NA,NA
"143",1993-05-23,7002,NA,NA
"144",1993-05-24,5874,NA,NA
"145",1993-05-25,6611,NA,NA
"146",1993-05-26,6162,NA,NA
"147",1993-05-27,6193,NA,NA
"148",1993-05-28,6684,NA,NA
"149",1993-05-29,14388,NA,NA
"150",1993-05-30,16058,NA,NA
"151",1993-05-31,11374,NA,NA
"152",1993-06-01,8117,NA,NA
"153",1993-06-02,7759,NA,NA
"154",1993-06-03,8645,NA,NA
"155",1993-06-04,12944,NA,NA
"156",1993-06-05,13581,NA,NA
"157",1993-06-06,13700,NA,NA
"158",1993-06-07,13028,NA,NA
"159",1993-06-08,13068,NA,NA
"160",1993-06-09,15004,NA,NA
"161",1993-06-10,13129,NA,NA
"162",1993-06-11,13296,NA,NA
"163",1993-06-12,16196,NA,NA
"164",1993-06-13,18040,NA,NA
"165",1993-06-14,18873,NA,NA
"166",1993-06-15,16945,NA,NA
"167",1993-06-16,15442,NA,NA
"168",1993-06-17,14272,NA,NA
"169",1993-06-18,13932,NA,NA
