Title,ReportDate,Bookmark
Mount Rushmore NMEM,Report Date: Jan 1993,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Daily%20and%20Monthly

Daily Visitation,May 7,"3,477",0,Infinity
Daily Visitation,May 8,"3,340",0,Infinity
Daily Visitation,May 9,"5,205",0,Infinity
Daily Visitation,May 10,"3,917",0,Infinity
Daily Visitation,May 11,"3,877",0,Infinity
Daily Visitation,May 12,"3,870",0,Infinity
Daily Visitation,May 13,"4,192",0,Infinity
Daily Visitation,May 14,"4,045",0,Infinity
Daily Visitation,May 15,"5,343",0,Infinity
Daily Visitation,May 16,"5,927",0,Infinity
Daily Visitation,May 17,"4,810",0,Infinity
Daily Visitation,May 18,"4,918",0,Infinity
Daily Visitation,May 19,"4,818",0,Infinity
Daily Visitation,May 20,"4,805",0,Infinity
Daily Visitation,May 21,"5,018",0,Infinity
Daily Visitation,May 22,"6,391",0,Infinity
Daily Visitation,May 23,"7,002",0,Infinity
Daily Visitation,May 24,"5,874",0,Infinity
Daily Visitation,May 25,"6,611",0,Infinity
Daily Visitation,May 26,"6,162",0,Infinity
Daily Visitation,May 27,"6,193",0,Infinity
Daily Visitation,May 28,"6,684",0,Infinity
Daily Visitation,May 29,"14,388",0,Infinity
Daily Visitation,May 30,"16,058",0,Infinity
Daily Visitation,May 31,"11,374",0,Infinity

Label,Value,YTD
,,

Label,ThisMonth,SameMonthLastYear,PercentChange,ThisYearYTD,LastYearYTD,PercentChangeYTD,FiscalYTD
Recreation Visitors,"132,355",,0.0,"234,255",,0.0,"234,255"
Non-Recreation Visitors,"41,796",,0.0,"96,424",,0.0,"96,424"
Total Visitors,"174,152",,0.0,"330,679",,0.0,"330,679"

﻿Title,ReportDate,Bookmark
Mount Rushmore NMEM,Report Date: Jun 1993,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Daily%20and%20Monthly

Description,Date,ThisMonth,SameMonthLastYear,PercentChange
